hex_id_7hex,total_rent_start_y_true
871f1d489ffffff,7897
871f1d49dffffff,6242
871f1d48bffffff,6148
871f1d4d0ffffff,5946
871f1d4f2ffffff,5729
871f1d4d6ffffff,5602
871f18b25ffffff,5136
871f1d4d2ffffff,5066
871f1d488ffffff,4550
871f1d48affffff,4431
871f1d499ffffff,4131
871f18b24ffffff,3756
871f18b21ffffff,3474
871f1d48dffffff,3438
871f1d4d4ffffff,3403
871f1d48effffff,3067
871f1d49bffffff,3007
871f1d483ffffff,2880
871f1d48cffffff,2619
871f1d49cffffff,2109
871f1d4f6ffffff,2098
871f1d498ffffff,1957
871f1d4abffffff,1811
871f18b34ffffff,1514
871f18b26ffffff,1503
871f1d482ffffff,1342
871f18b22ffffff,1298
871f18b35ffffff,1204
871f1d4d1ffffff,1042
871f1d4aaffffff,923
871f18b2cffffff,896
871f1d4d3ffffff,878
871f1d485ffffff,847
871f1d481ffffff,829
871f1d4d5ffffff,709
871f1d4f3ffffff,701
871f1d49affffff,682
871f1d4b0ffffff,640
871f18869ffffff,532
871f18b2effffff,518
871f18b20ffffff,492
871f1d4a8ffffff,488
871f18b0dffffff,451
871f1d4aeffffff,440
871f18b04ffffff,404
871f1d49effffff,374
871f18b23ffffff,362
871f1d4f0ffffff,354
871f18868ffffff,303
871f1d4b3ffffff,266
871f1d4deffffff,234
871f1d4a9ffffff,227
871f1d494ffffff,218
871f1d4b2ffffff,169
871f1d486ffffff,146
